,0
0,have
1,you
2,heard
3,that
4,female
5,watermelons
6,are
7,swee
8,parents
9,have
10,plenty
11,reasons
12,fight
13,against
14,you
15,carry
16,your
17,with
18,you
19,wherever
20,you
21,you
22,feel
23,awkward
24,using
25,neutral
26,pronou
27,wednesday
28,the
29,state
30,department
31,announced
32,you
33,been
34,pregnant
35,any
36,point
37,during
38,the
39,you
40,don
41,look
42,like
43,magic
44,player
45,familiar
46,the
47,experimental
48,experience
49,body
50,mine
51,arg
52,now
53,more
54,than
55,ever
56,there
57,push
58,for
59,toy
60,and
61,somebody
62,wants
63,refer
64,person
65,whose
66,electric
67,transport
68,startup
69,rivian
70,has
71,been
72,sued
73,microsoft
74,has
75,been
76,accused
77,cases
78,stock
79,photos
80,tend
81,lag
82,behind
83,the
84,culture
85,the
86,casual
87,conversations
88,feature
89,paid
90,actors
91,explic
92,investigation
93,the
94,markup
95,has
96,found
97,that
98,modern
99,tech
100,journalism
101,would
102,likely
103,look
104,far
105,assistants
106,continue
107,reinforce
108,sexist
109,ster
110,hello
111,and
112,welcome
113,back
114,equity
115,techcrunch
116,the
117,foundation
118,for
119,women
120,believe
121,the
122,wage
123,gap
124,isn
125,just
126,problem
127,the
128,you
129,been
130,frustrated
131,with
132,the
133,optio
134,turns
135,out
136,that
137,more
138,than
139,just
140,names
141,username
142,stuck
143,inside
144,here
145,are
146,our
147,favorite
148,inclu
149,pinterest
150,and
151,former
152,coo
153,fran
154,oise
155,brougher
156,wil
157,opinion
158,given
159,the
160,dearth
161,women
162,receiving
163,the
164,researchers
165,from
166,and
167,stanford
168,university
169,you
170,use
171,guys
172,general
173,pronoun
174,for
175,both
176,way
177,past
178,time
179,for
180,sex
181,toy
182,manufacturers
183,with
184,pride
185,month
186,underway
187,google
188,adding
189,google
190,facing
191,revised
192,class
193,action
194,affirming
195,underwear
196,patterns
197,are
198,being
199,every
200,years
201,astronomers
202,weigh
203,the
204,state
205,despite
206,what
207,the
208,binary
209,and
210,the
211,unfortun
212,men
213,are
214,more
215,likely
216,buy
217,electric
218,vehicles
219,the
220,increasingly
221,popular
222,ritual
223,that
224,celebrates
225,pinterest
226,today
227,announced
228,has
229,settled
230,the
231,you
232,heard
233,the
234,lines
235,the
236,playground
237,there
238,could
239,crisis
240,science
241,especially
242,organizing
243,slack
244,and
245,blind
246,pinterest
247,employe
248,the
249,american
250,academy
251,pediatrics
252,recently
253,rel
254,players
255,online
256,games
257,can
258,harassed
259,when
260,one
261,the
262,pioneers
263,reveal
264,parties
265,when
266,first
267,meet
268,gabriel
269,tilda
270,swinton
271,con
272,study
273,finds
274,that
275,facial
276,recognition
277,services
278,closing
279,the
280,gap
281,funding
282,simp
283,tinder
284,preparing
285,roll
286,out
287,more
288,opt
289,there
290,excuse
291,for
292,the
293,slow
294,pace
295,improvem
296,the
297,spreadsheet
298,divided
299,position
300,experien
301,must
302,address
303,the
304,workplace
305,status
306,quo
307,and
308,predicted
309,the
310,tech
311,industry
312,won
313,near
314,gen
315,time
316,when
317,engineers
318,must
319,meet
320,the
321,needs
322,european
